date,1. open,2. high,3. low,4. close,5. volume
2020-11-19 17:07:00,212.15,212.36,212.15,212.36,889.0
2020-11-19 17:04:00,212.2,212.2,212.2,212.2,4851.0
2020-11-19 17:03:00,212.15,212.21,212.15,212.21,2209.0
2020-11-19 16:59:00,212.24,212.24,212.24,212.24,165.0
2020-11-19 16:58:00,212.19,212.19,212.15,212.15,1323.0
2020-11-19 16:54:00,212.35,212.35,212.35,212.35,195.0
2020-11-19 16:53:00,212.39,212.39,212.3,212.3,1308.0
2020-11-19 16:42:00,212.25,212.25,212.25,212.25,414.0
2020-11-19 16:36:00,212.26,212.26,212.25,212.25,661.0
2020-11-19 16:35:00,212.4,212.4,212.4,212.4,252.0
2020-11-19 16:34:00,212.37,212.4,212.35,212.4,2083.0
2020-11-19 16:33:00,212.42,212.42,212.38,212.38,510.0
2020-11-19 16:31:00,212.5,212.5,212.42,212.42,5368.0
2020-11-19 16:27:00,212.5,212.5,212.5,212.5,164.0
2020-11-19 16:24:00,212.42,212.42,212.42,212.42,397.0
2020-11-19 16:22:00,212.5398,212.5398,212.5398,212.5398,418.0
2020-11-19 16:20:00,212.42,212.42,212.42,212.42,272.0
2020-11-19 16:19:00,212.49,212.49,212.49,212.49,172.0
2020-11-19 16:16:00,212.5,212.5,212.42,212.42,1294.0
2020-11-19 16:15:00,212.55,212.55,212.55,212.55,131.0
2020-11-19 16:14:00,212.42,212.5,212.42,212.5,4142.0
2020-11-19 16:13:00,212.37,212.4,212.35,212.35,889.0
2020-11-19 16:12:00,212.5,212.5,212.37,212.37,1489.0
2020-11-19 16:11:00,212.43,212.43,212.3988,212.3988,8844.0
2020-11-19 16:10:00,212.42,212.5,212.42,212.5,46120.0
2020-11-19 16:09:00,212.5,212.5,212.5,212.5,893.0
2020-11-19 16:08:00,212.42,212.54,212.42,212.54,11184.0
2020-11-19 16:07:00,212.52,212.53,212.52,212.53,653.0
2020-11-19 16:06:00,212.5,212.7,212.5,212.7,4501.0
2020-11-19 16:05:00,212.6,212.68,212.5,212.5,3868.0
2020-11-19 16:03:00,212.6,212.69,212.6,212.69,2601.0
2020-11-19 16:02:00,212.42,212.6,212.42,212.42,612863.0
2020-11-19 16:01:00,212.42,212.69,212.4,212.42,628674.0
2020-11-19 16:00:00,212.48,212.66,212.27,212.31,389649.0
2020-11-19 15:59:00,212.6,212.68,212.43,212.4701,133144.0
2020-11-19 15:58:00,212.49,212.6,212.47,212.58,132437.0
2020-11-19 15:57:00,212.53,212.55,212.4582,212.49,77716.0
2020-11-19 15:56:00,212.63,212.69,212.48,212.54,84907.0
2020-11-19 15:55:00,212.78,212.78,212.58,212.605,78030.0
2020-11-19 15:54:00,212.68,212.81,212.6,212.77,100804.0
2020-11-19 15:53:00,212.62,212.755,212.56,212.67,92192.0
